dong_xe,gia,hang,hop_so,kieu_dang,km_da_di,nam_sx,nhien_lieu,so_cho_ngoi,tinh_trang,xuat_xu
Corona,74.000.000,Toyota,Số sàn,Sedan,289569,1993,Xăng,5,Đã sử dụng,Nhật Bản
Sorento,1.230.000.000,Kia,Tự động,SUV / Cross over,3100,2021,Dầu,7,Đã sử dụng,Việt Nam
Cerato,513.000.000,Kia,Tự động,Sedan,39000,2018,Xăng,5,Đã sử dụng,
Explorer,1.786.000.000,Ford,Tự động,SUV / Cross over,300000,2018,Xăng,8,Đã sử dụng,Mỹ
Spark,130.000.000,Chevrolet,Tự động,Hatchback,15088,2008,Xăng,5,Đã sử dụng,
Q3,1.066.000.000,Audi,Tự động,SUV / Cross over,39000,2016,Xăng,5,Đã sử dụng,
Sedona,990.000.000,Kia,Tự động,Minivan (MPV),40000,2019,Dầu,7,Đã sử dụng,Việt Nam
Kona,573.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Việt Nam
Triton,320.000,Mitsubishi,Tự động,Pick-up (bán tải),123,2010,Dầu,5,Đã sử dụng,Thái Lan
TT,780.000.000,Audi,Tự động,Coupe (2 cửa),78000,2007,Xăng,2,Đã sử dụng,Mỹ
Fortuner,495.000.000,Toyota,Tự động,,120000,2007,Xăng,,Đã sử dụng,Nước khác
Lux,826.000.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
City,455.000.000,Honda,Tự động,Sedan,76142,2018,Xăng,5,Đã sử dụng,Việt Nam
Lux,681.695.000,Vinfast,Tự động,,,2021,,,Mới,
GX,1.039.000.000,Lexus,Tự động,SUV / Cross over,87000,2007,Xăng,7,Đã sử dụng,Nhật Bản
Lux,881.695.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Focus,510.000.000,Ford,Tự động,Sedan,48000,2018,Xăng,5,Đã sử dụng,
6,570.000.000,Mazda,Tự động,Sedan,52000,2016,Xăng,5,Đã sử dụng,Việt Nam
Vios,290.000.000,Toyota,Số sàn,Sedan,120000,2017,Xăng,5,Đã sử dụng,
Sonata,495.000.000,Hyundai,Tự động,Sedan,100000,2012,Xăng,5,Đã sử dụng,Hàn Quốc
Hilux,599.000.000,Toyota,Tự động,Pick-up (bán tải),119000,2017,Dầu,5,Đã sử dụng,Thái Lan
Elantra,115.000.000,Hyundai,Số sàn,Sedan,,2021,Xăng,5,Mới,Việt Nam
Lux,1.026.165.000,Vinfast,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Vios,495.000.000,Toyota,Tự động,Sedan,32000,2019,Xăng,5,Đã sử dụng,Việt Nam
Q5,818.000.000,Audi,Tự động,SUV / Cross over,63000,2012,Xăng,5,Đã sử dụng,Đức
Zinger,209.000.000,Mitsubishi,Số sàn,SUV / Cross over,120000,2009,Xăng,8,Đã sử dụng,Việt Nam
2,315.000.000,Mazda,Tự động,Hatchback,6888,2014,,,Đã sử dụng,
Vios,455.000.000,Toyota,Tự động,,70000,2018,Xăng,,Đã sử dụng,
Grand i10,418.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Rio,399.000.000,Kia,Tự động,Sedan,42000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
323,32.000.000,Mazda,Số sàn,Sedan,20000,1988,,5,Đã sử dụng,Nhật Bản
Pronto,115.000.000,Mekong,Số sàn,SUV / Cross over,10000,2008,Dầu,7,Đã sử dụng,Đức
E Class,2.050.000.000,Mercedes Benz,Tự động,Sedan,,2021,Xăng,5,Mới,Đức
Xpander,582.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Grand vitara,245.000.000,Suzuki,Tự động,SUV / Cross over,100000,2003,Xăng,7,Đã sử dụng,Nhật Bản
Tico,40.000.000,Daewoo,Số sàn,Hatchback,100000,1993,Xăng,5,Đã sử dụng,Hàn Quốc
Dmax,489.000.000,Isuzu,Số sàn,Pick-up (bán tải),135000,2017,Dầu,5,Đã sử dụng,Thái Lan
Grand i10,348.000.000,Hyundai,Tự động,Hatchback,32000,2018,Xăng,5,Đã sử dụng,Việt Nam
Getz,155.000.000,Hyundai,Số sàn,Hatchback,102000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
MB,200.000.000,Mercedes Benz,Số sàn,Van,99941,2002,Xăng,9,Đã sử dụng,Đức
3,610.000.000,Mazda,Tự động,Sedan,7700,2020,Xăng,5,Đã sử dụng,Việt Nam
Morning,255.000.000,Kia,Số sàn,Hatchback,33000,2017,Xăng,5,Đã sử dụng,Việt Nam
Triton,630.000.000,Mitsubishi,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Thái Lan
Pajero Sport,1.002.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
EcoSport,360.000.000,Ford,Số sàn,SUV / Cross over,55738,2017,Xăng,5,Đã sử dụng,Việt Nam
Navara,345.000.000,Nissan,Số sàn,Pick-up (bán tải),170,2011,Xăng,5,Đã sử dụng,Thái Lan
Eon,155.000.000,Hyundai,Số sàn,Hatchback,52,2012,Xăng,5,Đã sử dụng,Ấn Độ
Dòng khác,107.000.000,Suzuki,Số sàn,,30,2003,,,Đã sử dụng,
Jolie,128.000.000,Mitsubishi,Số sàn,SUV / Cross over,162000,2005,Xăng,8,Đã sử dụng,Nhật Bản
Rio,275.000.000,Kia,Số sàn,Sedan,105000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Accent,365.000.000,Hyundai,Số sàn,Sedan,14000,2020,Xăng,5,Đã sử dụng,Việt Nam
VFe34,590.000.000,Vinfast,Tự động,SUV / Cross over,,2021,Động cơ Hybrid,5,Mới,Việt Nam
Focus,389.000.000,Ford,Tự động,Sedan,65000,2015,Xăng,5,Đã sử dụng,
Carens,329.000.000,Kia,Số sàn,Minivan (MPV),60000,2016,Xăng,5,Đã sử dụng,
K3,559.000.000,Kia,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Camry,150.000.000,Toyota,Tự động,Sedan,100000,2002,Xăng,5,Đã sử dụng,Việt Nam
Santa Fe,1.020.000.000,Hyundai,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Việt Nam
Cruze,297.000.000,Chevrolet,Số sàn,Sedan,70000,2016,Xăng,5,Đã sử dụng,
Ranger,625.000.000,Ford,Bán tự động,Pick-up (bán tải),30000,2019,Dầu,5,Đã sử dụng,Thái Lan
Innova,255.000.000,Toyota,Số sàn,Minivan (MPV),990000,2007,Xăng,8,Đã sử dụng,
Lux,881.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Fadil,350.000.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Đã sử dụng,Việt Nam
Tucson,910.000.000,Hyundai,Tự động,SUV / Cross over,500,2021,Xăng,5,Đã sử dụng,Việt Nam
Innova,300.000.000,Toyota,Tự động,Minivan (MPV),5588,2010,Xăng,8,Đã sử dụng,Việt Nam
Avante,288.000.000,Hyundai,Số sàn,Sedan,120000,2012,Xăng,5,Đã sử dụng,Việt Nam
Sorento,1.270.000.000,Kia,Tự động,SUV / Cross over,7000,2021,Dầu,7,Đã sử dụng,Việt Nam
Ranger,1.240.000.000,Ford,Tự động,Pick-up (bán tải),14000,2020,Dầu,5,Đã sử dụng,Thái Lan
Fortuner,909.000.000,Toyota,Số sàn,SUV / Cross over,32000,2020,Dầu,7,Đã sử dụng,Việt Nam
Fortuner,1.195.000.000,Toyota,Tự động,,,2021,Xăng,,Mới,Việt Nam
Outlander,745.000.000,Mitsubishi,Tự động,SUV / Cross over,21000,2018,Xăng,7,Đã sử dụng,
Civic,215.000.000,Honda,Số sàn,Sedan,140000,2007,Xăng,5,Đã sử dụng,Việt Nam
Trailblazer,590.000.000,Chevrolet,Số sàn,SUV / Cross over,50000,2018,Dầu,8,Đã sử dụng,
Accent,480.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
E Class,410.000.000,Mercedes Benz,Tự động,Sedan,106000,2008,Xăng,5,Đã sử dụng,Đức
Ranger,630.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
Grand i10,315.000.000,Hyundai,Số sàn,Hatchback,68000,2019,Xăng,5,Đã sử dụng,Việt Nam
Focus,368.000.000,Ford,Tự động,Sedan,6900,2013,Xăng,5,Đã sử dụng,Việt Nam
A Class,619.000.000,Mercedes Benz,Tự động,Hatchback,80000,2013,Xăng,5,Đã sử dụng,Đức
Hi lander,120.000.000,Isuzu,Số sàn,,100000,2005,Dầu,8,Đã sử dụng,
Everest,1.030.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Morning,295.000.000,Kia,Tự động,Hatchback,70000,2012,Xăng,5,Đã sử dụng,
Ranger,886.000.000,Ford,Tự động,,,2021,,,Mới,
Cerato,548.000.000,Kia,Tự động,Sedan,15000,2019,Xăng,5,Đã sử dụng,Việt Nam
Grandis,338.000.000,Mitsubishi,Tự động,Minivan (MPV),88000,2008,Xăng,5,Đã sử dụng,Việt Nam
Camry,510.000.000,Toyota,Tự động,Sedan,67000,2011,Xăng,5,Đã sử dụng,Việt Nam
C Class,539.000.000,Mercedes Benz,Tự động,Sedan,53000,2012,Xăng,5,Đã sử dụng,Việt Nam
Accord,79.000.000,Honda,Số sàn,Sedan,999999,1992,Xăng,5,Đã sử dụng,
Grandis,495.000.000,Mitsubishi,Tự động,,60,2011,Xăng,,Đã sử dụng,
Ranger,545.000.000,Ford,Số sàn,Pick-up (bán tải),70000,2019,Dầu,5,Đã sử dụng,Thái Lan
Innova,210.000.000,Toyota,Số sàn,SUV / Cross over,,2011,Xăng,8,Mới,Nhật Bản
Dòng khác,45.000.000,Changan,Tự động,Minivan (MPV),10000,2004,,8,Đã sử dụng,Việt Nam
5008,1.299.000.000,Peugeot,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nước khác
Fadil,130.000.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
E Class,96.000.000,Mercedes Benz,Số sàn,Sedan,100000,1997,Xăng,5,Đã sử dụng,Đức
Innova,535.000.000,Toyota,Số sàn,Minivan (MPV),50000,2018,Xăng,8,Đã sử dụng,Việt Nam
Fortuner,465.000.000,Toyota,Số sàn,SUV / Cross over,160000,2010,Dầu,7,Đã sử dụng,Việt Nam
TT,690.000.000,Audi,Tự động,Mui trần,80000,2008,Xăng,2,Đã sử dụng,Nước khác
Everest,1.020.000.000,Ford,Tự động,SUV / Cross over,,2021,Dầu,7,Mới,Thái Lan
Lux,851.000.000,Vinfast,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Jolie,138.000.000,Mitsubishi,Số sàn,SUV / Cross over,150000,2005,Xăng,8,Đã sử dụng,Việt Nam
Grandis,490.000.000,Mitsubishi,Tự động,SUV / Cross over,57000,2011,Xăng,7,Đã sử dụng,Nước khác
Jolie,216.000.000,Mitsubishi,Số sàn,SUV / Cross over,74000,2005,Xăng,8,Đã sử dụng,Nhật Bản
Sorento,590.000.000,Kia,Tự động,,90000,2014,,,Đã sử dụng,
EcoSport,545.000.000,Ford,Tự động,SUV / Cross over,29000,2019,Xăng,5,Đã sử dụng,Việt Nam
,1.000.000.000,,,,,,,,Đã sử dụng,
Innova,320.000.000,Toyota,Tự động,SUV / Cross over,96000,2009,Xăng,8,Đã sử dụng,
Camry,1.235.000.000,Toyota,Tự động,Sedan,8000,2020,Xăng,5,Đã sử dụng,Thái Lan
Vios,293.000.000,Toyota,Số sàn,Sedan,137000,2016,Xăng,5,Đã sử dụng,Việt Nam
HR-V,786.000.000,Honda,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Thái Lan
6,626.000.000,Mazda,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,
3,535.000.000,Mazda,Tự động,Sedan,39000,2017,Xăng,5,Đã sử dụng,Việt Nam
Ranger,1.120.000.000,Ford,Tự động,Pick-up (bán tải),33000,2019,Dầu,5,Đã sử dụng,Thái Lan
EcoSport,415.000.000,Ford,Tự động,SUV / Cross over,83000,2015,Xăng,5,Đã sử dụng,Việt Nam
Escape,259.000.000,Ford,Tự động,SUV / Cross over,80000,2008,Xăng,5,Đã sử dụng,Việt Nam
3,577.000.000,Mazda,Tự động,Sedan,28000,2019,Xăng,5,Đã sử dụng,
Corolla,55.000.000,Toyota,Số sàn,Kiểu dáng khác,179000,1989,Xăng,5,Đã sử dụng,Nhật Bản
Innova,339.000.000,Toyota,Số sàn,Minivan (MPV),81000,2015,Xăng,8,Đã sử dụng,Việt Nam
Captiva,245.000.000,Chevrolet,Tự động,SUV / Cross over,25,2007,Xăng,7,Đã sử dụng,Hàn Quốc
Ranger,792.000.000,Ford,Tự động,Pick-up (bán tải),36000,2017,Dầu,5,Đã sử dụng,Thái Lan
Innova,490.000.000,Toyota,Số sàn,Minivan (MPV),103000,2017,Xăng,8,Đã sử dụng,Việt Nam
Sprinter,185.000.000,Mercedes Benz,Số sàn,Van,1869,2008,Dầu,6,Đã sử dụng,Việt Nam
CR V,910.000.000,Honda,Tự động,SUV / Cross over,21000,2018,Xăng,7,Đã sử dụng,Thái Lan
Swift,375.000.000,Suzuki,Tự động,Hatchback,60000,2015,Xăng,5,Đã sử dụng,
Captiva,238.000.000,Chevrolet,Số sàn,SUV / Cross over,51,2009,Xăng,7,Đã sử dụng,Việt Nam
Cruze,315.000.000,Chevrolet,Số sàn,Sedan,35000,2017,Xăng,5,Đã sử dụng,Việt Nam
Jolie,145.000.000,Mitsubishi,Số sàn,SUV / Cross over,126000,2004,Xăng,7,Đã sử dụng,Việt Nam
Rio,379.000.000,Kia,Tự động,Hatchback,66000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
Transit,420.000.000,Ford,Số sàn,Minivan (MPV),50000,2018,Dầu,9,Đã sử dụng,
Transit,295.000.000,Ford,Số sàn,Sedan,160000,2015,Dầu,16,Đã sử dụng,Việt Nam
Innova,539.000.000,Toyota,Số sàn,Minivan (MPV),68000,2017,Xăng,8,Đã sử dụng,Ấn Độ
Innova,480.000.000,Toyota,Số sàn,SUV / Cross over,69000,2016,Xăng,8,Đã sử dụng,Việt Nam
Fortuner,490.000.000,Toyota,Tự động,SUV / Cross over,120000,2012,Xăng,7,Đã sử dụng,Việt Nam
Vios,218.000.000,Toyota,Số sàn,Sedan,770000,2014,Xăng,5,Đã sử dụng,
Carens,320.000.000,Kia,Số sàn,Minivan (MPV),68000,2016,Xăng,5,Đã sử dụng,
Captiva,228.000.000,Chevrolet,Số sàn,SUV / Cross over,105000,2009,Xăng,7,Đã sử dụng,
GLS Class,2.999.999.999,Mercedes Benz,Tự động,SUV / Cross over,66000,2016,Xăng,7,Đã sử dụng,Mỹ
Grand i10,375.000.000,Hyundai,Tự động,Sedan,22000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cerato,295.000.000,Kia,Tự động,Sedan,100000,2010,Xăng,5,Đã sử dụng,Hàn Quốc
Vios,475.000.000,Toyota,Tự động,Sedan,30000,2018,Xăng,5,Đã sử dụng,Việt Nam
Innova,370.000.000,Toyota,Số sàn,Minivan (MPV),8000,2014,Xăng,7,Đã sử dụng,Việt Nam
E Class,635.000.000,Mercedes Benz,Tự động,Sedan,100000,2010,Xăng,5,Đã sử dụng,Việt Nam
Ranger,615.000.000,Ford,Số sàn,Pick-up (bán tải),13000,2021,Dầu,5,Đã sử dụng,Thái Lan
Accent,365.000.000,Hyundai,Số sàn,Sedan,62000,2019,Xăng,5,Đã sử dụng,Hàn Quốc
Vios,398.000.000,Toyota,Số sàn,Sedan,3000,2019,Xăng,5,Đã sử dụng,Việt Nam
Kona,578.000.000,Hyundai,Tự động,SUV / Cross over,6000,2020,Xăng,5,Đã sử dụng,Việt Nam
CR V,939.000.000,Honda,Tự động,SUV / Cross over,10000,2018,Xăng,7,Đã sử dụng,
Transit,385.000.000,Ford,Số sàn,Minivan (MPV),130000,2017,Dầu,16,Đã sử dụng,Việt Nam
City,478.000.000,Honda,Tự động,Sedan,61000,2018,Xăng,5,Đã sử dụng,
Fadil,382.500.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Ertiga,448.000.000,Suzuki,Tự động,Minivan (MPV),26000,2019,Xăng,7,Đã sử dụng,Thái Lan
Innova,305.000.000,Toyota,Số sàn,Minivan (MPV),188,2011,Xăng,8,Đã sử dụng,Việt Nam
Morning,318.000.000,Kia,Tự động,Hatchback,30000,2018,Xăng,5,Đã sử dụng,Việt Nam
GLC Class,1.299.000.000,Mercedes Benz,Tự động,SUV / Cross over,14000,2016,Xăng,5,Đã sử dụng,Việt Nam
Explorer,1.799.000.000,Ford,Tự động,SUV / Cross over,35000,2018,Xăng,8,Đã sử dụng,Việt Nam
EcoSport,535.000.000,Ford,Tự động,SUV / Cross over,40000,2018,Xăng,5,Đã sử dụng,Việt Nam
Innova,255.000.000,Toyota,Số sàn,Minivan (MPV),200000,2008,Xăng,8,Đã sử dụng,Nhật Bản
Soluto,355.000.000,Kia,Số sàn,Sedan,5000,2021,Xăng,5,Đã sử dụng,Việt Nam
Transit,450.000.000,Ford,Số sàn,Minivan (MPV),100000,2018,Dầu,16,Đã sử dụng,Việt Nam
Corolla Cross,860.000.000,Toyota,Tự động,,11000,2020,,,Đã sử dụng,
Innova,588.000.000,Toyota,Số sàn,Minivan (MPV),27000,2019,Xăng,8,Đã sử dụng,Việt Nam
Spark,115.000.000,Chevrolet,Số sàn,,999000,2010,Xăng,5,Đã sử dụng,
Elantra,90.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
3,620.000.000,Mazda,Tự động,Sedan,20000,2019,Xăng,5,Đã sử dụng,Việt Nam
Cruze,286.000.000,Chevrolet,Số sàn,Sedan,50132,2015,Xăng,5,Đã sử dụng,Việt Nam
CX 5,860.000.000,Mazda,Tự động,SUV / Cross over,16000,2020,Xăng,5,Đã sử dụng,Việt Nam
Ertiga,503.900.000,Suzuki,Tự động,Minivan (MPV),,2021,Xăng,7,Mới,Nước khác
Lanos,88.000.000,Daewoo,Số sàn,Sedan,191919,2000,Xăng,5,Đã sử dụng,Việt Nam
GLC,2.499.000.000,Mercedes Benz,Tự động,SUV / Cross over,,2021,Xăng,5,Mới,Đức
Morning,168.000.000,Kia,Tự động,Hatchback,150000,2008,Xăng,5,Đã sử dụng,Hàn Quốc
Grand i10,350.000.000,Hyundai,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Camry,245.000.000,Toyota,Tự động,Sedan,12,2003,Xăng,5,Đã sử dụng,Việt Nam
Camry,950.000.000,Toyota,Tự động,Sedan,30000,2019,Xăng,5,Đã sử dụng,Thái Lan
Santa Fe,960.000.000,Hyundai,Tự động,SUV / Cross over,34689,2019,Xăng,7,Đã sử dụng,Việt Nam
Rio,369.000.000,Kia,Tự động,Sedan,67168,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Yaris,648.000.000,Toyota,Tự động,Hatchback,5000,2020,,5,Đã sử dụng,Nước khác
Everest,163.000.000,Ford,Số sàn,,160000,2006,Xăng,7,Đã sử dụng,
Focus,515.000.000,Ford,Tự động,Hatchback,30000,2017,Xăng,5,Đã sử dụng,Việt Nam
4 Runner,270.000.000,Toyota,Tự động,SUV / Cross over,950000,2015,Xăng,8,Đã sử dụng,Việt Nam
2,495.000.000,Mazda,Tự động,Sedan,1000,2021,Xăng,5,Đã sử dụng,Việt Nam
Accent,490.000.000,Hyundai,Tự động,Sedan,28000,2020,Xăng,5,Đã sử dụng,Việt Nam
Innova,606.000.000,Toyota,Số sàn,Minivan (MPV),20379,2019,Xăng,8,Đã sử dụng,
Ranger,645.000.000,Ford,Tự động,Pick-up (bán tải),60000,2015,Dầu,5,Đã sử dụng,Thái Lan
Forte,285.000.000,Kia,Số sàn,Sedan,90000,2013,Xăng,5,Đã sử dụng,Hàn Quốc
Aveo,265.000.000,Chevrolet,Số sàn,Sedan,100000,2018,Xăng,5,Đã sử dụng,
3 Series,1.190.000.000,BMW,Tự động,Sedan,3000,2018,Xăng,4,Đã sử dụng,Đức
Morning,305.000.000,Kia,Tự động,Hatchback,52222,2019,Xăng,5,Đã sử dụng,Việt Nam
Outlander,825.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Cruze,347.000.000,Chevrolet,Số sàn,Sedan,38000,2017,Xăng,5,Đã sử dụng,Mỹ
Ranger,525.000.000,Ford,Tự động,Pick-up (bán tải),80000,2015,Dầu,5,Đã sử dụng,
Ranger,500.000.000,Ford,Số sàn,Pick-up (bán tải),72000,2017,Dầu,5,Đã sử dụng,Việt Nam
Corolla Altis,560.000.000,Toyota,Tự động,Sedan,80000,2016,Xăng,5,Đã sử dụng,Việt Nam
Ranger,690.000.000,Ford,Tự động,Pick-up (bán tải),86000,2015,Dầu,5,Đã sử dụng,Thái Lan
Grand i10,360.000.000,Hyundai,Tự động,Hatchback,,2021,,5,Mới,Việt Nam
Ranger,190.000.000,Ford,Tự động,Pick-up (bán tải),,2021,Dầu,5,Mới,Việt Nam
City,485.000.000,Honda,Tự động,Sedan,60000,2017,Xăng,5,Đã sử dụng,
Vios,399.000.000,Toyota,Số sàn,Sedan,112000,2019,Xăng,5,Đã sử dụng,Việt Nam
Civic,695.000.000,Honda,Tự động,Sedan,15000,2019,Xăng,5,Đã sử dụng,Thái Lan
X Terra,779.000.000,Nissan,Tự động,SUV / Cross over,15000,2019,Xăng,7,Đã sử dụng,Thái Lan
Vios,488.000.000,Toyota,Tự động,Sedan,37000,2019,Xăng,5,Đã sử dụng,Việt Nam
Vios,432.000.000,Toyota,Tự động,Sedan,42000,2018,Xăng,5,Đã sử dụng,Việt Nam
C Class,1.120.000.000,Mercedes Benz,Tự động,Sedan,37000,2017,Xăng,5,Đã sử dụng,Việt Nam
3,310.000.000,Mazda,Tự động,Sedan,103000,2010,Xăng,4,Đã sử dụng,Đài Loan
Outlander,825.000.000,Mitsubishi,Tự động,SUV / Cross over,,2021,Xăng,7,Mới,Nhật Bản
Elantra,422.000.000,Hyundai,Tự động,Sedan,50000,2014,Xăng,5,Đã sử dụng,Hàn Quốc
Cerato,295.000.000,Kia,Tự động,Sedan,102000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Fortuner,1.065.000.000,Toyota,Tự động,SUV / Cross over,4000,2021,,7,Đã sử dụng,Việt Nam
Lacetti,180.000.000,Chevrolet,Số sàn,Sedan,5500,2011,Xăng,5,Đã sử dụng,Việt Nam
Solati,726.000.000,Hyundai,Số sàn,SUV / Cross over,18000,2019,Dầu,16,Đã sử dụng,Việt Nam
Transit,305.000.000,Ford,Số sàn,Minivan (MPV),85000,2014,Dầu,16,Đã sử dụng,Việt Nam
Rio,359.000.000,Kia,Tự động,Hatchback,68000,2013,Xăng,5,Đã sử dụng,Hàn Quốc
Civic,468.000.000,Honda,Tự động,Sedan,63000,2013,Xăng,5,Đã sử dụng,Việt Nam
Innova,570.000.000,Toyota,Số sàn,Minivan (MPV),72000,2019,Xăng,8,Đã sử dụng,Việt Nam
Accent,490.000.000,Hyundai,Tự động,Sedan,,2021,Xăng,5,Mới,Việt Nam
Spark,240.000.000,Chevrolet,Tự động,Hatchback,65000,2015,Xăng,5,Đã sử dụng,
Premacy,155.000.000,Mazda,Tự động,Hatchback,90000,2005,,7,Đã sử dụng,Nhật Bản
Innova,265.000.000,Toyota,Số sàn,Minivan (MPV),260000,2016,Xăng,8,Đã sử dụng,Việt Nam
Innova,588.000.000,Toyota,Số sàn,Minivan (MPV),27000,2019,Xăng,8,Đã sử dụng,Việt Nam
EcoSport,430.000.000,Ford,Tự động,SUV / Cross over,46000,2016,Xăng,5,Đã sử dụng,Việt Nam
CD5,69.000.000,Kia,Số sàn,Hatchback,100000,2003,Xăng,5,Đã sử dụng,Việt Nam
Tucson,825.000.000,Hyundai,Tự động,SUV / Cross over,21789,2020,Xăng,5,Đã sử dụng,Việt Nam
Ranger,669.000.000,Ford,Tự động,Pick-up (bán tải),12000,2020,Dầu,5,Đã sử dụng,Thái Lan
Morning,899.000.000,Kia,Tự động,Hatchback,2500,2021,Xăng,5,Đã sử dụng,Việt Nam
Escape,198.000.000,Ford,Tự động,SUV / Cross over,200000,2005,Xăng,5,Đã sử dụng,Mỹ
Lacetti,145.000.000,Daewoo,Số sàn,Sedan,100000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
F PACE,2.479.000.000,Jaguar,Tự động,SUV / Cross over,8000,2019,Xăng,5,Đã sử dụng,Nước khác
Dòng khác,115.000.000,Suzuki,Số sàn,Van,218000,2004,Xăng,2,Đã sử dụng,Việt Nam
Focus,514.000.000,Ford,Tự động,Hatchback,38000,2018,Xăng,5,Đã sử dụng,Việt Nam
3,545.000.000,Mazda,Tự động,Sedan,79000,2018,Xăng,5,Đã sử dụng,Việt Nam
EcoSport,435.000.000,Ford,Tự động,SUV / Cross over,47000,2015,Xăng,5,Đã sử dụng,Việt Nam
Innova,490.000.000,Toyota,Số sàn,Minivan (MPV),68000,2017,Xăng,8,Đã sử dụng,
V Class,2.662.000.000,Mercedes Benz,Tự động,,,2021,,,Mới,
Jazz,479.000.000,Honda,Tự động,Hatchback,29000,2018,Xăng,5,Đã sử dụng,
Fortuner,880.000.000,Toyota,Số sàn,SUV / Cross over,38000,2018,Dầu,7,Đã sử dụng,Nước khác
i30,270.000.000,Hyundai,Tự động,Hatchback,150000,2009,Xăng,5,Đã sử dụng,Hàn Quốc
Xpander,575.000.000,Mitsubishi,Tự động,Minivan (MPV),30000,2020,Xăng,7,Đã sử dụng,Nhật Bản
,150.000.000,,,,,,,,Đã sử dụng,
Hiace,125.000.000,Toyota,Số sàn,,120000,2003,,,Đã sử dụng,
Sprinter,245.000.000,Mercedes Benz,Số sàn,,,2011,Dầu,6,Đã sử dụng,
Everest,955.000.000,Ford,Tự động,SUV / Cross over,62116,2018,Dầu,7,Đã sử dụng,Thái Lan
Innova,455.000.000,Toyota,Số sàn,Minivan (MPV),75,2017,Xăng,8,Đã sử dụng,Việt Nam
Morning,179.000.000,Kia,Số sàn,Hatchback,183,2014,Xăng,5,Đã sử dụng,Việt Nam
Mu X,645.000.000,Isuzu,Tự động,SUV / Cross over,950000,2016,Dầu,7,Đã sử dụng,Thái Lan
Camry,245.000.000,Toyota,Số sàn,Sedan,160,2003,Xăng,5,Đã sử dụng,
Fadil,130.000.000,Vinfast,Tự động,Hatchback,,2021,Xăng,5,Mới,Việt Nam
Aveo,295.000.000,Chevrolet,Tự động,Sedan,50000,2018,Xăng,5,Đã sử dụng,Việt Nam
Lux,930.000.000,Vinfast,Tự động,SUV / Cross over,11000,2020,Xăng,7,Đã sử dụng,
Focus,540.009.000,Ford,Tự động,Sedan,60000,2016,Xăng,5,Đã sử dụng,Việt Nam
Lanos,52.000.000,Daewoo,Số sàn,Sedan,500000,2003,Xăng,5,Đã sử dụng,Hàn Quốc
Jazz,475.000.000,Honda,Tự động,Hatchback,30,2018,Xăng,5,Đã sử dụng,Thái Lan
Innova,315.000.000,Toyota,Tự động,Minivan (MPV),1,2009,Xăng,8,Đã sử dụng,Việt Nam
3,495.000.000,Mazda,Tự động,Sedan,56000,2016,Xăng,5,Đã sử dụng,
Rio,369.000.000,Kia,Tự động,Sedan,67000,2015,Xăng,5,Đã sử dụng,Hàn Quốc
Soluto,340.000.000,Kia,Số sàn,Sedan,26000,2019,Xăng,5,Đã sử dụng,
Civic,698.000.000,Honda,Tự động,Sedan,15000,2019,Xăng,5,Đã sử dụng,Thái Lan
Everest,940.000.000,Ford,Tự động,SUV / Cross over,30000,2019,Dầu,7,Đã sử dụng,Thái Lan
