id,domain,url,crawled_date,anh_xe,ten,gia_ban,gia_lan_banh,nam_san_xuat,kieu_dang,tinh_trang,xuat_xu,tinh_thanh,quan_huyen,hop_so,nhien_lieu,mo_ta
5cfb2000-17bf-48e8-887b-518985aec42b,oto.com.vn,https://oto.com.vn/mua-ban-xe-isuzu-f-series-ben-tre/thung-dai-96-met-fvr900-aidxm22530784,1656843390.729124,https://i3.ytimg.com/vi/ZJ6AR9J5xzM/hqdefault.jpg,isuzu f series,1400000000.0,1434000000.0,2022,truck,mới,trong nước,bến tre,bến tre, tay,diesel,"- Xe tải nặng Isuzu thùng dài 9.6 mét FVR900. - Kích thước lọt lòng: 9600x2350x2350 mm (52 khối hàng). - Tải chở hàng 7.5 tấn, chuyên chở hàng nhẹ, cồng kềnh, - Tiết kiệm nhiên liệu bền bỉ. - Xe tiêu chuẩn có liền giao ngay giá cực tốt. - Hổ trợ vay vốn ngân hàng cao. - Nhận xe trực tiếp từ đại lý ủy quyền. Xem xe chi tiết tại: 111/2 Đường số 18, Kp. 2, P. Bình Hưng Hòa, Q. Bình Tân, Hồ Chí Minh."
eeadf4e7-370c-4adf-8574-a5d3dbfe3cff,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/du-mau-xe-gia-tot-nhat-khi-dat-som-goi-full-phu-kien-tra-truoc-20-nhan-xe-ho-tro-moi-thu-tuc-lan-banh-aidxm22515489,1656843390.838746,https://img1.oto.com.vn/crop/575x430/2022/06/10/20220610151337-97b0_wm.jpg,ford ranger xls 2.2 4x2,662000000.0,712800000.0,2022,pick-up truck,mới,nhập khẩu,hà nội,bắc từ liêm, tự động,diesel,"Mua Ford  Ranger XLS 2022.  Mua Ford Ranger ở Hà Nội. Chính sách giá bán Ford Ranger XLS tháng 6/ 2022. + Ranger XLS 2.2L 4x2 AT (nâng cấp mới): 662 triệu. + Ranger XLS 2.2L 4x2 MT (nâng cấp mới): 642 triệu. Giá xe ưu đãi tốt nhất phụ thuộc thời điểm khách hàng đặt xe giữ giá, giữ xuất giao trước hoặc lấy xe giao ngay. Hỗ trợ vay đến 80% giá xe; Lãi suất hấp dẫn, thời hạn tối đa 8 năm. Chỉ cần hộ khẩu và CMND. Không cần chứng minh thu nhập. (3 ngày nhận xe ngay). Hỗ trợ đăng ký, đăng kiểm, giao xe tận nhà. Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách. Cam kết khách hàng sẽ nhận được quyền lợi tối đa nhất. Quý khách có kế hoạch lấy xe vui lòng đặt sớm để lấy xe tháng 6. Hãy gọi ngay: 0904016692 để TVBH tư vấn hỗ trợ báo giá tốt nhất. Hỗ trợ khách hàng đặt lấy xe trong thời gian này. - Bảo hành bảo dưỡng 3 năm/100.000km. - Có xe lái thử trải nghiệm miễn phí tại đại lý. - Sẵn xe, đủ màu giao ngay. Số lượng có hạn. - Chính sách giá bán hợp lý nhất cho quý khách đặt xe sớm. - Tặng gói phụ kiện, gói bảo hiểm hấp dẫn dành cho khách mua Ford Ranger ở Hà Nội. (tùy thời điểm). Lưu ý: Số lượng xe về đại lý ít nên quý khách hàng có nhu cầu vui lòng liên hệ đặt xe sớm. Để được giao xe đúng ngày. Mr Hiếu - Đại lý Ford chính hãng. Hotline 0969016692. Showroom: 168 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội. Quý khách vui lòng, chúng tôi hạnh phúc! Trân trọng cảm ơn quý khách hàng đã xem tin và rất hân hạnh được phục vụ!"
221cddf6-38c2-4682-b03d-d6b06beba369,oto.com.vn,https://oto.com.vn/mua-ban-xe-honda-civic-hcm/uu-dai-khung-du-mau-giao-ngay-sg-aidxm22539738,1656843390.865789,https://img1.oto.com.vn/crop/575x430/2022/06/28/20220628173711-f133_wm.jpg,honda civic 1.5 g,770000000.0,869300000.0,2022,sedan,mới,nhập khẩu,thành phố hồ chí minh,tân bình, tự động,xăng,1/ Honda Civic với 2 phiên bản G - RS khuyến mãi hấp dẫn - đủ màu - giao ngay.   2/ Chỉ từ 116 triệu nhận xe ngay (liên hệ để tính phí ra biển số từng địa phương).   3/ Cập nhật báo giá: (liên hệ nhận ưu đãi). ✔Civic G: 770 triệu. ✔City RS: 870 triệu.   4/ Nhận đặt xe & tư vấn khuyến mãi (liên hệ nhận ưu đãi): ✔Ưu đãi tiền mặt. ✔Hỗ trợ bảo hiểm vật chất xe. ✔Tặng gói phụ kiện nâng cấp.   5/ Vay vốn linh hoạt: ✔Tỷ lệ vay đến 80 - 90% tổng giá trị xe. ✔Tối đa 96 tháng. ✔Hỗ trợ hồ sơ thủ tục nhanh chóng. Liên hệ ngay để được ưu đãi tốt nhất từng thời điểm.
a7f52d08-c1e1-4d64-9123-bf6c969f7126,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/san-xe-gia-tot-uu-dai-den-100-trieu-tien-mat-tang-goi-pk-chinh-hang-tra-gop-80-gia-xe-ho-tro-lan-banh-aidxm22518004,1656843390.90201,https://img1.oto.com.vn/crop/575x430/2022/06/11/20220611142129-94bb_wm.jpg,ford everest titanium 2.0l at 4wd,1309000000.0,1489000000.0,2022,suv,mới,nhập khẩu,hà nội,, tự động,diesel,"Mua bán Ford Everest 2022 ở Hà Nội.   Mua Ford Everest Titanium 4x4AT 2022  .  Chính sách bán hàng Ford Everest tháng 6/2022. Everest Titanium 2.0L 4x4AT- Turbo kép (Giá tốt LH Hotline). Everest Titanium 2.0L 4x2AT-Turbo kép (Giá tốt LH Hotline).   Giá xe Ưu đãi tốt nhất phụ thuộc thời điểm khách hàng đặt xe ngay giữ giá hoặc cần lấy xe giao ngay. Hãy gọi ngay: 0969016692 - Để TVBH tư vấn hỗ trợ báo giá tốt nhất. Hỗ trợ vay đến 80% giá xe; Lãi suất hấp dẫn, thời hạn tối đa 8 năm. Chỉ cần hộ khẩu và CMND. Không cần chứng minh thu nhập. (3 ngày nhận xe ngay). Hỗ trợ đăng ký, đăng kiểm, giao xe tận nhà. Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách. Cam kết khách hàng sẽ nhận được quyền lợi tối đa nhất.   Quý khách có kế hoạch lấy xe vui lòng đặt sớm để lấy xe tháng 6. Hỗ trợ khách hàng đặt lấy xe trong thời gian này. - Bảo hành bảo dưỡng 3 năm/100.000km. - Có xe lái thử trải nghiệm miễn phí tại đại lý. - Sẵn xe, đủ màu giao ngay. Số lượng có hạn. - Chính sách giá bán hợp lý nhất cho quý khách đặt xe sớm. - Tặng gói phụ kiện, gói bảo hiểm hấp dẫn dành cho khách mua Ford Everest ở Hà Nội. (tùy thời điểm). Lưu ý: Số lượng xe về đại lý ít nên quý khách hàng có nhu cầu vui lòng liên hệ đặt xe sớm. Để được giao xe đúng ngày. Mr Hiếu _Đại lý Ford chính hãng. Hotline 0969016692. Showroom: 168 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội. Quý khách vui lòng, chúng tôi hạnh phúc! Trân trọng cảm ơn quý khách hàng đã xem tin và rất hân hạnh được phục vụ!"
e7578b7e-3c74-4a6d-ada1-0bc69924b987,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/san-mau-tra-truoc-hon-200-trieu-nhan-xe-tang-goi-phu-kien-ho-tro-thu-tuc-lan-banh-giao-xe-toan-quoc-aidxm22515566,1656843390.950079,https://img1.oto.com.vn/crop/575x430/2022/06/10/20220610152308-422d_wm.jpg,ford ranger wildtrak 2.0l 4x4,917000000.0,986100000.0,2022,pick-up truck,mới,nhập khẩu,hà nội,bắc từ liêm, tự động,diesel,"Mua Ford Ranger Wildtrak 2022 .  Mua Ford Ranger ở Hà Nội. Chính sách giá bán Ford Ranger Wildtrak tháng 6/ 2022. Ranger Wildtrak 2.0L 4x4AT – Turbo kép (Bi Turbo): 937 triệu. Màu xe: Cam, trắng, đen, xám. - Giá bán xe ưu đãi tốt nhất phụ thuộc thời điểm khách hàng đặt xe giữ giá, giữ xuất giao trước hoặc lấy xe giao ngay. - Hỗ trợ vay đến 80% giá xe; Lãi suất hấp dẫn, thời hạn tối đa 8 năm. Chỉ cần hộ khẩu và CMND. Không cần chứng minh thu nhập. (3 ngày nhận xe ngay). - Hỗ trợ đăng ký, đăng kiểm, giao xe tận nhà. - Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách. - Cam kết khách hàng sẽ nhận được quyền lợi tối đa nhất. Quý khách có kế hoạch lấy xe vui lòng đặt sớm để lấy xe tháng 6. Hãy gọi ngay: 0969016692 - Để TVBH tư vấn hỗ trợ báo giá tốt nhất. Hỗ trợ khách hàng đặt lấy xe trong thời gian này. - Bảo hành bảo dưỡng 3 năm/100.000km. - Có xe lái thử trải nghiệm miễn phí tại đại lý. - Sẵn xe, đủ màu giao ngay. Số lượng có hạn. - Chính sách giá bán hợp lý nhất cho quý khách đặt xe sớm. - Tặng gói phụ kiện, gói bảo hiểm hấp dẫn dành cho khách mua Ford Ranger ở Hà Nội. (tùy thời điểm). Lưu ý: Số lượng xe về đại lý ít nên quý khách hàng có nhu cầu vui lòng liên hệ đặt xe sớm. Để được giao xe đúng ngày. Mr Hiếu - Đại lý Ford chính hãng. Hotline 0969016692. Showroom: 168 Phạm Văn Đồng, Bắc Từ Liêm, Hà Nội. Quý khách vui lòng, chúng tôi hạnh phúc!"
b9c18fc8-c572-4f3e-b78c-166c78524fbd,oto.com.vn,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-ha-noi/san-xe-giao-ngay-trong-thang-72022-nhieu-qua-tang-chinh-hang-aidxm22539663,1656843391.056224,https://img1.oto.com.vn/crop/575x430/2022/06/28/20220628170147-9dd6_wm.jpg,hyundai santa fe 2.2l (máy dầu) cao cấp,1405000000.0,1596000000.0,2022,suv,mới,trong nước,hà nội,hà đông, tự động,xăng,"Hyundai Santafe 2022 SUV 7 chỗ vừa ra mắt 17/5/2021, xe giao ngay. Mới 100%. Sẵn màu đen + Trắng cao cấp giao ngay tháng 7/2022. Quà tặng hấp dẫn đi kèm (Liên hệ để biết thêm chi tiêt). * Chưa từng có: Phụ kiện chuẩn hãng, giá như ""ở ngoài"": Giảm giá lên tới 50% phụ kiện mua thêm (Liên hệ để biết thêm chi tiết). * Hỗ trợ trả góp lãi suất thấp 0,625%/ tháng suốt thời gian vay, vay tối đa 85% giá trị xe. * Xử lý nợ xấu nhóm cao, xử lý hồ sơ khó chứng minh tài chính. * Hỗ trợ vay cho doanh nghiệp: - Công ty mới thành lập. - Công ty báo cáo tài chính lỗ. - Không báo cáo tài chính. - Công ty muốn vay tối đa %. * Bảo hành chính hãng 5 năm toàn quốc. * Bảo dưỡng theo chuẩn Hyundai toàn cầu. - Liên hệ: Hyundai Hà Đông Hà Nội 0966388150."
fc92d5df-5baf-47a8-b676-97dc409b34f5,oto.com.vn,https://oto.com.vn/mua-ban-xe-ford-explorer-hcm/nhap-khau-100-tu-my-giao-trong-thang-72022-aidxm22491218,1656843391.092039,https://img1.oto.com.vn/crop/575x430/2022/05/24/20220524203742-270d_wm.jpg,ford explorer limited,2399000000.0,2662000000.0,2022,suv,mới,nhập khẩu,thành phố hồ chí minh,, tự động,xăng,"Ford Explorer 2022 nhập khẩu 100% từ Mỹ - Nâng tầm đẳng cấp! Tin vui dành cho quý khách hàng đón chờ Ford Explorer phiên bản mới. Xe đã chính thức được phân phối tại thị trường Việt Nam. Siêu phẩm Ford Explorer 2022 hoàn toàn mới với rất nhiều công nghệ tiên tiến. + Động cơ 2.3 Ecoboost nổi tiếng của Ford cho công suất lên tới 301 sức ngựa! + Hộp số 10 cấp - Cần số với núm xoay hiện đại kết hợp 7 chế độ đường đi! + Phanh tay điện tử kết hợp tính năng auto hold. +Công nghệ đèn full led. + Xe 2 cầu toàn thời gian với động cơ đặt dọc, lực truyền chủ yếu từ cầu sau giúp cho chiếc xe vận hành mạnh mẽ hơn! + Sạc không dây tiện nghi. + Bộ lốp mới êm ái và đỡ ồn hơn bản cũ. + Bộ loa mới B&O cho trải nghiệm âm thanh chất lượng. + Hỗ trợ tự đánh lái tránh va chạm. + Hỗ trợ phanh khẩn cấp với vật cản cắt ngang, giữ khoảng cách và bám theo xe phía trước. + Tự động pha cốt, né pha khi gặp xe đối diện phía trước. Và còn rất nhiều các tính năng chờ quý KH trải nghiệm. - Màu xe: Trắng, đen, đỏ, xanh. - Tặng gói quà tặng hấp dẫn dành cho khách hàng ký chờ. - Bảo bành bảo dưỡng 3 năm/ 100.000km. + Hỗ trợ cho vay 80% giá xe; Lãi suất hấp dẫn, tối đa vay 8 năm. + Hỗ trợ giao xe miễn phí tại nhà. + Thủ tục đơn giản, nhanh gọn, tiết kiệm thời gian cho quý khách.   Hỗ trợ tư vấn chăm sóc xe tận tình. Liên hệ ngay: 0906971282."
2c91dde7-06ee-4637-887a-512fd561bf94,oto.com.vn,https://oto.com.vn/mua-ban-xe-honda-cr-v-hcm/uu-dai-khung-du-mau-giao-ngay-sg-aidxm22539713,1656843391.125039,https://img1.oto.com.vn/crop/575x430/2022/06/28/20220628172214-363c_wm.jpg,honda cr v 1.5 g,1048000000.0,1175000000.0,2022,suv,mới,nhập khẩu,thành phố hồ chí minh,tân bình, tự động,xăng,1/Honda CRV với 3 phiên bản G - L - LSE khuyến mãi hấp dẫn - đủ màu - giao ngay.   2/Chỉ từ 158 triệu nhận xe ngay (liên hệ để tính phí ra biển số từng địa phương).   3/Cập nhật báo giá: (liên hệ nhận ưu đãi). ✔CRV G: 1 tỷ 048 triệu. ✔CRV L: 1 tỷ 118 triệu. ✔CRV LSE: 1 tỷ 038 triệu.   4/Nhận đặt xe & tư vấn khuyến mãi (liên hệ nhận ưu đãi): ✔Ưu đãi tiền mặt. ✔Hỗ trợ bảo hiểm vật chất xe. ✔Tặng gói phụ kiện nâng cấp.   5/Vay vốn linh hoạt: ✔Tỷ lệ vay đến 80 - 90% tổng giá trị xe. ✔Tối đa 96 tháng. ✔Hỗ trợ hồ sơ thủ tục nhanh chóng. Liên hệ ngay để được Ưu đãi tốt nhất từng thời điểm.
3b54bfb0-282c-4e53-8352-e6af7cd4a6cc,oto.com.vn,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/gia-tot-nhat-ho-tro-85-giao-xe-ngay-tang-kem-qua-tang-dac-biet-aidxm22391630,1656843391.184775,https://img1.oto.com.vn/crop/575x430/2022/03/22/20220322135234-f9ae_wm.jpg,toyota corolla cross 1.8 g,746000000.0,857900000.0,2022,suv,mới,nhập khẩu,hà nội,, tự động,xăng,"Toyota Corolla Cross giá tốt nhất Hà Nội - Hỗ trợ 85%, giao xe ngay các phiên bản, tặng kèm quà tặng đặc biệt. Giá xe Toyota Cross 2022. - Toyota Cross G 2021: 746.000.000 VNĐ. - Toyota Cross V 2021: 846.000.000 VNĐ. - Toyota Cross HV 2021: 936.000.000 VNĐ. Ưu đãi dành tặng quý khách mua xe trong tháng này: - Vay 85 % giá trị xe. - Thời gian vay: 7 - 8 năm. - Lãi suất: 0,4 - 0,7%. - Hồ sơ vay đơn giản, không chứng minh thu nhập. Xử lí nhanh hồ sơ xấu. - Thời gian làm thủ tục: 2 - 3 ngày là nhận xe. - Giao xe tận nhà, hỗ trợ lái thử miễn phí. Và còn rất nhiều phần quà khủng dành tặng quý khách kí xe tháng 6 chỉ có tại Toyota Hà Đông. Hotline: 0896696862."
57832fac-02d9-4f96-be90-a02dde000f69,oto.com.vn,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-tay-ninh/all-new-giao-ngay-du-mau-tang-phu-kien-gia-tot-nhat-mien-nam-aidxm22521938,1656843391.217344,https://img1.oto.com.vn/crop/575x430/2022/06/15/20220615091236-e7e5_wm.jpg,mitsubishi xpander at premium,648000000.0,716600000.0,2022,mpv,mới,nhập khẩu,tây ninh,, tự động,xăng,"Mitsubishi Ô Tô Sài Gòn Tây Ninh chuyên phân phối các dòng xe mitsubishi Xpander All  New chính hãng 2022 liên hệ em Trực để là vị khách may mắn nhận được chương trình giá tốt có xe ngay, sở hữu nhiều phần quà hấp dẫn. Hotline/Zalo: Mr Trực 0903830839. Giá niêm yết. - Mitsubishi Xpander MT: 555 (tr đồng). - Mitsubishi Xpander AT: 588 (tr đồng). - Mitsubishi Xpander AT Premium: 648 (tr đồng) Giao ngay tháng 06: - Tặng full phụ kiện - Quà tặng theo xe. Liên hệ ngay. Tư vấn xe nhiệt tình. Cập nhật chương trình theo tháng sớm nhất đến khách hàng. Hỗ trợ đăng ký, đăng kiểm xe. Liên hệ ngay em Trực để có xe ngay và quà tặng full theo xe. Giá tốt nhất miền Nam. Hotline: Mr Trực_ Mitsubishi Ô Tô Sài Gòn Tây Ninh: 0903830839."
